score,num,name
8.3,249,Hôtel Chaplain Paris Rive Gauche
9.0,203,Relais Christine
7.9,360,Best Western Le Colisée
8.0,65,Hotel Le Placide Saint-Germain Des Prés
7.8,1114,Antin Trinité
7.3,1286,Avalon Hotel Paris
8.0,321,Hôtel Cristal Champs Elysées
7.7,360,Hôtel Eugénie
7.8,597,Berkeley
7.2,648,Hotel Agora
8.5,12,Hôtel Vernet
6.9,175,Best Western Hotel Les Théâtres
9.3,329,Hôtel Le Relais des Halles
7.6,398,Hotel Elysées Bassano
8.9,555,Le Robinet d'Or
8.5,248,Mansart
8.2,709,Hôtel Elysées Paris
8.3,420,Hôtel Langlois
8.3,327,Hôtel du Temps
7.8,764,Libertel Montmartre Duperre
7.4,347,Trinité Plaza
8.6,157,Apostrophe Hôtel
7.3,446,Residence La Concorde
7.9,126,Hotel De Vigny
8.3,831,Napoleon Paris
8.5,120,Hôtel De Buci
7.1,1057,Hotel du Mont Blanc
7.9,327,Hôtel Cordelia Opéra-Madeleine
8.4,388,Vignon
8.2,299,Villathena
8.5,348,Hôtel Hor
8.2,377,Hôtel Mayet
7.6,749,Pullman Paris Tour Eiffel
7.9,753,Verlain
7.9,168,Sublim Eiffel
7.2,740,Timhotel Paris Gare de Lyon
8.7,302,Le Grey Hotel
8.2,137,Le Tourville Eiffel
8.2,285,Lenox Montparnasse
8.0,159,Hotel Best Western Anjou Lafayette
8.9,192,La Maison Saint Germain
7.1,759,Hotel Royal Cardinal
7.4,2670,Belambra City - Magendie
7.7,443,Austin's Saint Lazare Hotel
7.9,127,Waldorf Madeleine
7.7,535,Istria Montparnasse
7.2,540,Hôtel Du Leman
7.2,428,Ascot Opera
6.9,194,Best Western Quartier Latin Pantheon
8.8,745,Champs-Elysées Mac Mahon
7.6,658,Hôtel Des Mines
7.7,189,Hotel Massena
6.9,450,Royal Bergère
7.9,191,Le Général Hôtel
8.2,1123,Hôtel Saint-Charles
8.2,285,Regina
8.0,611,Excelsior Opera
7.9,161,Hôtel Monna Lisa Champs Elysées
7.8,206,Paris Marriott Hotel Champs-Elysees
8.0,217,Hôtel du Lion d'Or Louvre
8.2,376,Le Clos Medicis
8.0,333,Moderne St Germain
7.5,551,Hotel du Nord et de l'Est
7.5,1344,Hôtel de Roubaix
8.4,286,Brighton
8.1,475,Hotel 29 Lepic
8.8,280,A La Villa Madame
7.3,854,Hôtel Le Rocroy
7.7,295,At Home Hotel Apartments Paris
7.5,427,Concorde Opéra Paris
7.6,727,Best Western Nouvel Orléans
8.2,685,Gardette Park Hotel
8.0,178,Hôtel Garance Carofftel-Gobelins
8.0,444,Royal Saint Germain
7.8,497,Gat Folies
7.7,452,Queen Mary Opera
7.2,630,Hotel William's Opera
7.9,365,Best Western Opéra d'Antin
7.8,171,Best Western Premier Le Carré Folies Opéra
7.2,401,Timhotel Gaîté Montparnasse
7.7,206,Best Western Louvre Piemont
7.7,367,Short Stay Apartment Museum View
8.8,313,Chambiges Elysées
9.1,374,Hôtel Fabric
7.6,598,Hotel de Saint-Germain
8.2,136,Hotel Des Saints Peres
8.2,85,InterContinental Paris Avenue Marceau
7.3,204,Hôtel des Archives
8.0,152,Elysées Régencia
7.5,447,Bridgestreet Le Marais
7.7,351,Adagio Paris Montmartre
8.4,69,Hôtel R de Paris
8.8,346,Hôtel Caron
7.7,200,Helzear Rive Gauche Apartments
9.0,277,Hotel Oscar
7.6,346,Yllen Eiffel
7.7,145,Hotel Le Pera
7.7,774,Novotel Paris Vaugirard Montparnasse
7.5,422,Hotel Maxim Quartier Latin
7.5,150,Amarante Champs-Elysées
7.5,325,Newhotel Lafayette
6.7,227,Royal Garden Champs Elysees
7.3,503,Hotel de l'Europe
8.0,488,Adagio Paris Opéra
8.8,79,Short Stay Paris Apartments
7.0,631,Moulin Plaza
8.3,108,Hotel West-End
7.7,376,Hôtel des Champs-Elysées
7.2,302,My Hotel In France - Opéra Saint Georges
8.6,95,Villa & Hotel Majestic-Spa
7.6,454,Best Western Montmartre Alizé
7.8,541,Novotel Paris Gare Montparnasse
8.6,378,Royal Magda Etoile
8.3,1013,Hôtel Le Relais Saint Charles
7.2,502,Peletier Haussmann Opera
8.1,367,Opera Frochot
8.1,516,Warwick Champs-Elysees
8.9,52,Marquis Faubourg Saint-Honoré
8.2,135,Hotel Louvre Montana
8.1,847,Best Western Sèvres Montparnasse
8.0,661,9HOTEL OPERA
6.9,459,Tonic Hôtel du Louvre
8.4,367,Serotel Lutèce
7.9,428,Hôtel Vaneau Saint Germain
8.5,180,Hôtel De Vendôme
7.5,588,Hôtel Beauchamps
8.1,1180,Pullman Paris Montparnasse
8.0,317,Opéra Marigny
8.7,148,Artus Hotel
7.5,819,Hôtel Du Plat d'Etain
9.1,443,Hôtel D'Aubusson
8.3,116,Hôtel San Régis
8.5,239,Hôtel O Paris by Elegancia
8.3,1038,Bastille De Launay
8.0,259,Crystal Hotel
7.1,238,Best Western Hôtel France Europe
7.7,456,Clarion Collection Etoile Saint Honoré
8.4,392,Hotel Le Squara
8.5,170,9HOTEL MONTPARNASSE
7.3,469,Best Western Amiral Hotel
7.9,639,Hotel Albe Bastille
8.3,200,Bradford Elysées - Astotel
8.0,729,Color Design Hotel
8.9,76,"Shangri-La Hotel, Paris"
7.3,833,Hôtel de l'Ocean
8.5,204,Hôtel de la Motte Picquet
8.4,119,Hôtel Pont Royal
7.9,1133,Montparnasse Daguerre
8.5,312,Timhotel Opéra Grands-Magasins
8.7,599,La Perle
8.1,321,Royal Hotel
7.6,207,Arc Elysées
6.9,697,Hôtel Edgar Quinet
8.0,378,Terrass Hôtel
8.0,612,Hotel Agora Saint Germain
8.8,341,Beauséjour Montmartre
7.2,546,Hôtel du Square d'Anvers
8.4,910,Hôtel Tourisme Avenue
7.7,793,Hotel Boronali
8.3,449,Balmoral
7.4,1795,Novotel Paris Tour Eiffel
8.5,494,Les Plumes Hotel
8.5,116,Hotel Le Walt
7.9,712,Virgina
8.6,279,Relais Du Louvre
7.7,539,Kyriad Hotel Paris Bercy Village
7.2,805,Grenelle Paris Tour Eiffel
8.5,290,Hotel d'Orsay
8.3,50,Hotel Lancaster Paris
7.5,218,Hôtel les Degrés de Notre Dame
7.7,318,Elysées Union
8.1,100,L'Edmond Hôtel
8.0,308,Le Chat Noir Design
8.4,229,Splendid Etoile
8.0,373,Hôtel des Métallos
8.2,211,Garden-Elysée
7.4,606,Hotel du Lys
7.8,513,Innova
8.6,593,Villa Montmartre
7.2,1556,Amiot
8.4,345,George Sand
7.8,467,Elysées Ceramic
7.1,501,Best Western Hotel Montmartre Sacré-Coeur
8.1,789,Best Western Star Champs-Elysées
8.1,246,Residence Pelican Paris 1er
7.4,513,Le Méridien Etoile
8.5,318,Hotel Saint-Louis Marais
7.7,552,Best Western Opéra Batignolles
7.1,1842,Adagio Paris Tour Eiffel
7.0,345,Hôtel des Deux Avenues
7.9,377,Regyn's Montmartre
8.0,269,Le Marquis Eiffel
7.7,409,Hôtel Paris Voltaire
8.2,249,Hôtel de Sévigné
7.3,271,Belfast
7.7,347,Villa Des Princes
7.7,606,Convention Montparnasse
8.0,1061,Mercure Paris Centre Tour Eiffel
7.7,303,Golden Hotel Paris
8.0,195,Tivoli
8.0,195,Best Western Le Patio Saint Antoine
8.6,323,Hôtel Mistral
7.7,656,Opera Deauville
7.7,730,Eden Montmartre
7.4,429,Stella Etoile
7.5,1165,Idéal Hôtel Design
7.4,434,Auteuil Tour Eiffel
8.2,773,L' HOTEL PERGOLESE
7.1,2070,Hyatt Regency Paris Etoile (ex Concorde Lafayette)
8.8,393,Regent's Garden
8.1,461,Floride-Etoile
8.2,480,Arc de Triomphe Etoile
8.0,324,First Hotel
8.5,112,Bassano
7.5,386,Hôtel Prony
7.1,856,Hôtel Sacré-Coeur Paris Montmartre
7.1,237,Hotel Delarc
9.1,218,Le 123 Sébastopol - Astotel
7.5,239,Best Western Mercedes
8.1,230,Eiffel Capitol
7.8,94,"Radisson Blu Le Metropolitan Hotel, Paris Eiffel"
8.1,153,Marceau Champs-Elysées
7.3,346,Hôtel Elysées Flaubert
8.5,686,Hôtel Palais De Chaillot
7.5,75,Résidence Temple
8.4,311,Splendor
7.8,719,Doisy Etoile
7.7,106,Montfleuri
8.2,224,Atala Champs-Elysées
7.8,253,Chambellan Morgane
8.2,113,Hotel Du Cadran
7.4,347,Bridgestreet Opera
7.9,299,Val Girard
8.2,1098,Best Western Empire Elysees
7.8,91,Plaza Etoile
7.4,424,Quality Hotel Paris Orléans
7.5,706,Best Western Premier 61 Paris Nation Hotel
7.9,302,Académie Hôtel Saint Germain
7.5,233,Pavillon Monceau
7.7,514,Le Quartier Bercy-Square
8.2,289,Residhotel Imperial Rennequin
7.3,325,Pavillon Nation
7.6,166,Quality Hotel Abaca Paris 15
7.6,189,Tilsitt Etoile
7.8,288,Best Western Montcalm
8.4,536,La Régence Etoile
8.3,479,Etoile Park Hotel
8.1,422,Best Western Prince Montmartre
7.5,514,Bridgestreet Champs-Elysées
8.0,404,L'Adresse
7.4,243,Etoile Trocadero
8.0,201,Hotel Monceau Wagram
8.2,845,Oceania Paris Porte De Versailles
8.1,263,Aéro
8.0,145,Arc De Triomphe
7.4,148,Hotel Eiffel Segur
7.8,216,Best Western Premier Trocadero La Tour
8.9,276,Hôtel Félicien by Elegancia
7.8,362,Bridgestreet Montparnasse
7.4,349,Adagio Porte de Versailles
7.6,454,Delos Vaugirard
8.5,743,Hotel Armoni Paris by Elegancia
8.3,331,Ampère
8.2,756,Source Hôtel
7.6,525,Hôtel De La Paix
7.3,315,Printania Grenelle Eiffel
7.9,205,Centre Ville Etoile
8.3,483,La Villa des Ternes
7.9,556,Elysees Niel Hotel
8.8,293,Les Jardins De La Villa
7.4,493,Les Hauts de Passy - Trocadero Eiffel
9.1,130,Saint James Paris
7.8,80,"Radisson Blu Champs-Elysées, Paris"
8.0,91,"Radisson Blu Le Dokhan's Hotel, Paris Trocadéro"
7.3,683,Adagio Aparthotel Paris XV
8.4,238,Villa Glamour
8.2,97,Melia Vendome
7.6,59,Hôtel du Vieux Marais
8.1,244,Best Western Grand Hôtel de L'Univers Saint-Germain
8.3,300,Hôtel Claridge Paris
7.5,370,Timhotel Palais Royal
7.6,91,Cosy's Residence Cadet
8.0,772,Hotel Excelsior Latin
8.9,130,Le Pavillon de la Reine
7.3,179,Hôtel Louvre Richelieu
8.1,419,Hôtel du Romancier
8.3,324,Hôtel Jacques De Molay
8.1,359,Best Western Gaillon Opera
6.7,279,Normandy Hotel
8.7,62,Hotel Saint-Louis Saintonge
7.3,666,Staycity Serviced Apartments - Gare de l'Est
6.8,361,Hôtel Mondial
7.4,834,Best Western Aurore
7.9,574,Hôtel Volney Opéra
8.4,191,Hôtel Bel Ami
8.2,225,Hôtel Saint Germain Des Prés
8.0,173,Lodge du Centre
6.9,438,Pointe Rivoli
9.0,6,Hôtel Folkestone Opéra
6.6,956,Hôtel Liège Strasbourg
6.9,187,My Hotel In France Le Marais
8.0,277,TRYP Paris Francois Hotel
6.3,278,Hôtel de l'Exposition - République
8.6,221,Francois 1er
8.8,181,Le Pavillon des Lettres
8.3,271,Aviatic Saint Germain
7.9,146,Mercure Paris La Sorbonne
9.2,234,Hôtel Vic Eiffel
7.6,337,Best Western Tour Eiffel Invalides
8.9,318,Hôtel Jules & Jim
8.1,390,D'win
9.1,39,Lyric Hôtel Paris
8.5,384,Hotel de L'Empereur
8.3,424,Best Western Paris Louvre Opera
7.8,506,Art Hotel Lafayette
7.1,366,Helder Opéra
7.6,101,Citadines Opéra-Grands Boulevards Paris
8.0,347,Hôtel Des Marronniers
8.8,80,Hotel Saint Dominique
8.8,506,Hotel de L'Universite
9.0,222,La Maison Favart
7.5,363,Hotel Montpensier
6.5,304,Hôtel De Castiglione
8.4,512,Hôtel Albe Saint Michel
8.7,87,Hôtel Champs Élysées Plaza
7.6,145,Hôtel Baudelaire Opéra
8.0,773,Cluny Square
7.5,79,Hotel Haussmann St Augustin
7.9,96,Residhome Paris Opéra
8.4,97,Hôtel Edgar
